srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
2887713124,3270640130,55046,443,TCP,1684514618000,10.294,16,1179
2887713124,3270640130,37542,443,TCP,1684514572000,35.275,23,2024
3270640130,2887713124,443,53374,TCP,1684514641000,11.039,11,5968
134744072,2887713124,443,59688,TCP,1684514421000,311.115,349,45084
2887713124,3270640130,53374,443,TCP,1684514641000,11.039,13,1083
2887713124,134744072,59688,443,TCP,1684514421000,311.11,222,19451
3242611979,2887713124,443,48844,TCP,1684514656000,30.82,10,4873
1495696166,2887713124,443,54966,TCP,1684514691000,2.648,12,5790
3110066731,2887713124,443,52838,TCP,1684514661000,30.555,11,4188
1607930677,2887713124,443,50440,TCP,1684514645000,31.103,17,7583
2887713124,3242611979,48844,443,TCP,1684514655000,31.059,16,1266
2887713124,1495696166,54966,443,TCP,1684514691000,2.701,14,974
2887713124,3110066731,52838,443,TCP,1684514661000,30.732,16,1303
2887713124,1607930677,50440,443,TCP,1684514645000,31.274,19,1296
2887713124,2817256555,53182,443,TCP,1684514648000,30.724,15,1277
2887713124,603244703,35500,443,TCP,1684514706000,1.772,13,1190
2817256555,2887713124,443,53182,TCP,1684514648000,30.731,13,4488
603244703,2887713124,443,35500,TCP,1684514706000,1.778,14,7235
1280049675,2887713124,443,35666,TCP,1684514666000,49.825,46,6774
2887713124,1280049675,35666,443,TCP,1684514666000,49.832,50,3534
2887713124,603244703,35508,443,TCP,1684514710000,2.408,15,1242
603244703,2887713124,443,35508,TCP,1684514710000,2.395,15,6677
2338577992,2887713124,443,52956,TCP,1684514715000,13.466,18,6712
2466199650,2887713124,443,45774,TCP,1684514699000,32.149,11,4535
2887713124,2338577992,52956,443,TCP,1684514715000,13.47,21,1633
2887713124,2466199650,45774,443,TCP,1684514698000,32.326,15,1845
2338577992,2887713124,443,45106,TCP,1684514753000,10.385,14,5923
2338577992,2887713124,443,54752,TCP,1684514736000,15.803,19,6659
2887713124,2338577992,45106,443,TCP,1684514753000,10.401,17,1305
2887713124,2338577992,54752,443,TCP,1684514736000,15.792,19,1670
2456824066,2887713124,443,42966,TCP,1684514769000,37.957,25,11620
2887713124,2456824066,42966,443,TCP,1684514769000,37.945,33,2627
2887713124,2737796528,41292,443,TCP,1684514764000,31.314,21,1426
2737796528,2887713124,443,41292,TCP,1684514764000,31.214,16,6306
2887713124,2890106525,33512,443,TCP,1684514796000,30.692,13,1080
2887713124,2928287151,35134,443,TCP,1684514803000,49.921,43,4160
2890106525,2887713124,443,33512,TCP,1684514796000,30.684,9,5936
2928287151,2887713124,443,35134,TCP,1684514803000,49.92,36,7537
2887713124,2928287151,57436,443,TCP,1684514880000,28.992,23,2116
2887713124,2928287151,56830,443,TCP,1684514855000,24.077,24,2158
2928287151,2887713124,443,57436,TCP,1684514880000,28.971,20,5774
2928287151,2887713124,443,56830,TCP,1684514856000,24.071,19,5530
134744072,2887713124,443,59688,TCP,1684514746000,256.452,270,34368
2887713124,134744072,59688,443,TCP,1684514746000,256.459,163,14969
2887713124,2928287151,44392,443,TCP,1684514915000,83.022,60,5993
2928287151,2887713124,443,44392,TCP,1684514915000,83.014,42,9032
134744072,2887713124,443,59688,TCP,1684515002000,67.92,62,8014
2887713124,134744072,59688,443,TCP,1684515002000,72.919,41,3524
2887713124,2928287151,44392,443,TCP,1684515008000,57.866,39,3963
2928287151,2887713124,443,44392,TCP,1684515008000,57.836,33,3371
2887713124,2928287151,44392,443,TCP,1684515077000,46.204,31,2993
2928287151,2887713124,443,44392,TCP,1684515077000,46.201,26,2938
